Calc. MW,Total Distance,Outlier Detected In
407.9447,2.838115183997691,['no2-cla_ctrl.csv']
332.09258,2.8465550736492053,['no2-cla_ctrl.csv']
229.84327,4.0441153051476935,['no2-cla_ctrl.csv']
308.04815,4.164089259585457,['no2-cla_ctrl.csv']
205.79837,4.521463366607334,['no2-cla_ctrl.csv']
207.796,4.758136701235935,['no2-cla_ctrl.csv']
522.22816,5.133647550300504,['no2-cla_ctrl.csv']
278.15219,5.4125395945538735,['lps_ctrl.csv']
444.21309,5.631957109134319,['cla-lps_ctrl.csv']
253.88797,5.897141978809778,['no2-cla_ctrl.csv']
360.19495,5.919908464743511,['no2-cla_ctrl.csv']
364.22551,5.947354598447561,['no2-cla_ctrl.csv']
410.26784,5.98481116433161,['no2-cla_ctrl.csv']
233.98257,6.027737418325057,['no2-cla_ctrl.csv']
417.21601,6.046974267789882,['lps_ctrl.csv']
498.18413,6.073219417427801,['no2-cla_ctrl.csv']
248.17777,6.234476924651643,['no2-cla_ctrl.csv']
320.23557,6.25013919478115,['cla-lps_ctrl.csv']
294.18689,6.271188190967918,['cla-lps_ctrl.csv']
348.23048,6.31382171439421,['cla-lps_ctrl.csv']
366.24108,6.348006344962355,['cla-lps_ctrl.csv']
360.25464,6.436169423984794,['lps_ctrl.csv']
325.22575,6.480653600099942,['no2-cla_ctrl.csv']
360.19499,6.483848509643375,['no2-cla_ctrl.csv']
374.13977,6.517222363830486,['no2-cla_ctrl.csv']
365.29357,6.568597484057974,['cla-lps_ctrl.csv']
362.20996,6.570502255566435,['no2-cla_ctrl.csv']
345.80059,6.584308563236398,['no2-cla_ctrl.csv']
420.16875,6.6493590999641246,['no2-cla_ctrl.csv']
496.31153,6.671648472369468,['lps_ctrl.csv']
332.15464,6.67602773948473,['cla-lps_ctrl.csv']
404.22098,6.688471671548237,['no2-cla_ctrl.csv']
219.96671,6.726388898791505,['no2-cla_ctrl.csv']
250.16034,6.731211137339749,['no2-cla_ctrl.csv']
686.33993,6.736885803044693,['cla-lps_ctrl.csv']
350.24614,6.753407247414393,['no2-cla_ctrl.csv']
440.23325,6.7643034720082635,['cla-lps_ctrl.csv']
531.68408,6.79558755319138,['cla-lps_ctrl.csv']
430.34099,6.819783668664408,['no2-cla_ctrl.csv']
466.32997,6.887364810290075,['no2-cla_ctrl.csv']
238.15688,6.975563806282002,['cla-lps_ctrl.csv']
209.93783,6.9823129664647094,['cla-lps_ctrl.csv']
338.24396,7.037435629317479,['cla-lps_ctrl.csv']
311.24647,7.039417099257978,['lps_ctrl.csv']
375.25466,7.057653574320312,['no2-cla_ctrl.csv']
566.39457,7.104073724262573,['no2-cla_ctrl.csv']
320.15459,7.196640179459108,['no2-cla_ctrl.csv']
448.31953,7.211561084195742,['cla-lps_ctrl.csv']
448.31928,7.2188568626797025,['cla-lps_ctrl.csv']
356.32949,7.22134393869907,['lps_ctrl.csv']
